@relation $AAPL
@attribute TID real
@attribute POS real
@attribute NUM_NODES real
@attribute NUM_EDGES real
@attribute NUM_CMP real
@attribute class {increase , no_change ,decrease}
@data
1025,632,1671,1808,163,no_change
795,505,1351,1547,143,decrease
942,595,1566,1812,133,increase
1150,691,1879,2136,167,increase
1335,863,2140,2458,195,increase
1404,932,2173,2326,183,decrease
970,646,1745,1903,162,increase
838,554,1477,1657,138,decrease
850,608,1517,1641,140,decrease
667,443,1227,1186,163,increase
668,444,1189,1173,158,decrease
541,363,1032,1095,109,increase
963,640,1616,1717,168,decrease
572,390,1101,1199,128,increase
779,515,1342,1713,129,decrease
740,454,1248,1414,116,decrease
602,392,1127,1254,117,increase
628,407,1175,1225,122,increase
636,418,1180,1245,126,decrease
667,429,1200,1266,120,increase
826,554,1427,1439,162,decrease
975,648,1818,1947,198,decrease
1012,699,1814,1918,197,increase
880,614,1574,1624,177,decrease
698,467,1262,1408,120,decrease
650,403,1204,1241,142,decrease
597,384,1127,1230,116,increase
650,464,1230,1243,166,decrease
588,377,1102,1171,115,decrease
507,337,970,1034,113,increase
705,448,1199,1261,126,increase
775,483,1353,1520,131,decrease
696,454,1233,1315,139,decrease
591,402,1112,1215,112,increase
114,80,287,265,51,increase
674,415,1225,1331,137,decrease
482,298,944,973,107,increase
731,466,1290,1362,150,decrease
704,414,1224,1351,121,increase
613,408,1133,1140,135,decrease
444,312,918,994,85,increase
535,370,1050,1087,126,increase
2918,1944,4706,5035,479,decrease
