@relation $SPY
@attribute TID real
@attribute POS real
@attribute NUM_NODES real
@attribute NUM_EDGES real
@attribute NUM_CMP real
@attribute class {increase , no_change ,decrease}
@data
701,455,1330,1356,166,no_change
521,330,1036,1171,125,no_change
714,466,1345,1454,142,no_change
665,414,1294,1564,112,decrease
1214,732,2027,2277,181,decrease
1304,831,2150,2304,213,increase
1512,955,2625,2832,256,increase
1244,775,2137,2268,216,no_change
931,582,1641,1720,148,decrease
884,560,1619,1664,155,decrease
1082,671,1840,1862,169,increase
798,513,1566,1674,141,decrease
960,646,1759,1822,177,increase
866,548,1643,1743,170,increase
1394,905,2535,2870,253,increase
1173,736,2125,2287,189,no_change
760,495,1496,1641,161,decrease
714,445,1416,1408,168,no_change
1211,816,2176,2223,235,increase
698,459,1319,1369,150,decrease
765,472,1475,1548,166,increase
803,505,1577,1772,163,decrease
836,550,1649,1823,162,decrease
937,593,1705,1814,188,increase
908,589,1720,1995,174,increase
799,522,1580,1647,180,decrease
830,536,1588,1691,167,no_change
844,541,1667,1748,162,decrease
712,485,1384,1365,147,decrease
767,505,1470,1495,162,no_change
1331,865,2287,2447,239,increase
1157,767,2115,2264,208,decrease
841,548,1638,1760,176,decrease
964,612,1808,1840,203,decrease
148,90,381,344,64,increase
1347,877,2454,2661,218,no_change
1152,769,2066,2214,205,decrease
1557,1005,2674,2861,253,increase
1288,824,2226,2439,202,decrease
721,444,1387,1418,151,no_change
644,410,1336,1384,130,decrease
888,572,1628,1706,154,increase
803,498,1497,1590,140,decrease
